year,month,supplier,item_code,item_description,item_type,retail_sales,retail_transfers,warehouse_sales,total_sales,transfer_ratio,demand,date
2020,7,"THE COUNTRY VINTNER, LLC DBA WINEBOW",46698,PITU BRAZILIAN CACHACA - 1L,LIQUOR,9.42,0.0,0.0,9.42,0.0,9.42,2020-07-01
2020,7,THE WINE GROUP,46700,CUPCAKE CENTRAL COAST P/NOIR - 750ML,WINE,10.97,10.0,12.0,22.97,0.43535045711798,32.97,2020-07-01
2020,7,THE WINE GROUP,46728,BIG HOUSE RED - 750ML,WINE,0.0,0.0,1.0,1.0,0.0,1.0,2020-07-01
2020,7,BACCHUS IMPORTERS LTD,46735,CHARLES DE FERE CUV JEAN LOIS - 187ML,WINE,0.0,0.0,1.0,1.0,0.0,1.0,2020-07-01
2020,7,REPUBLIC NATIONAL DISTRIBUTING CO,4685,TIGER BEER 4/6 11.2OZ NR,BEER,0.0,0.0,7.0,7.0,0.0,7.0,2020-07-01
2020,7,DIAGEO NORTH AMERICA INC,46884,SMIRNOFF VODKA - RASPBERRY TW - 750ML,LIQUOR,0.33,0.0,0.0,0.33,0.0,0.33,2020-07-01
2020,7,REMY COINTREAU USA,47007,COINTREAU - 750ML,LIQUOR,80.27,81.0,12.0,92.27,0.8778584588707056,173.26999999999998,2020-07-01
2020,7,SAZERAC CO,47023,SOUTHERN COMFORT 70P - 1L,LIQUOR,2.61,5.0,0.0,2.61,1.9157088122605366,7.609999999999999,2020-07-01
2020,7,REMY COINTREAU USA,47031,COINTREAU - 375ML,LIQUOR,0.2,0.0,0.0,0.2,0.0,0.2,2020-07-01
2020,7,YUENGLING BREWERY,4707,YUENGLING LAGER LOOSE CAN - 12OZ,BEER,222.0,202.0,1309.96,1531.96,0.13185722864826757,1733.96,2020-07-01
2020,7,KYSELA PERE ET FILS LTD,47085,RINALDI MOSCOTO D'ASTI - 750ML,WINE,0.0,0.0,1.0,1.0,0.0,1.0,2020-07-01
2020,7,MONTEBELLO BRANDS INC,47104,MONTEBELLO LONG ISLAND ICE TEA - 750ML,LIQUOR,9.85,11.0,0.0,9.85,1.116751269035533,20.85,2020-07-01
2020,7,VINTAGE WINE ESTATES INC,47111,MIDDLE SISTER CAB - 750ML,WINE,0.08,1.0,0.0,0.08,12.5,1.08,2020-07-01
2020,7,RUTHERFORD WINE COMPANY,47112,CLYDES CALIF CHARD - 750ML,WINE,2.08,2.0,13.0,15.08,0.13262599469496023,17.08,2020-07-01
2020,7,WILLIAM GRANT AND SONS INC,47126,FLOR DE CANA ORO - 1L,LIQUOR,1.94,2.0,0.0,1.94,1.0309278350515465,3.94,2020-07-01
2020,7,SAZERAC CO,47127,TUACA LIQ - 50ML,LIQUOR,0.04,0.0,0.0,0.04,0.0,0.04,2020-07-01
2020,7,RELIABLE CHURCHILL LLLP,47129,BLUECOAT GIN - 750ML,LIQUOR,14.4,14.0,0.0,14.4,0.9722222222222222,28.4,2020-07-01
2020,7,SAZERAC CO,47139,SOUTHERN COMFORT 100P - 750ML,LIQUOR,18.46,17.0,0.0,18.46,0.9209100758396532,35.46,2020-07-01
2020,7,SAZERAC CO,47146,FIREBALL CINNAMON WHISKY - 1L,LIQUOR,24.35,29.0,23.0,47.35,0.6124604012671594,76.35,2020-07-01
2020,7,RUTHERFORD WINE COMPANY,47147,CLYDES CALIF MERLOT - 750ML,WINE,0.16,0.0,2.0,2.16,0.0,2.16,2020-07-01
2020,7,SOUTHERN GLAZERS WINE AND SPIRITS,47153,ST MICHAELS GOLLYWOBBLER PINK 338750 - 750ML,WINE,0.16,0.0,0.0,0.16,0.0,0.16,2020-07-01
2020,7,RUTHERFORD WINE COMPANY,47155,CLYDES CALIF CAB - 750ML,WINE,0.67,1.0,5.0,5.67,0.1763668430335097,6.67,2020-07-01
2020,7,SOUTHERN GLAZERS WINE AND SPIRITS,47160,SOMBRA MEZCAL - 750ML,LIQUOR,1.86,1.0,0.0,1.86,0.5376344086021505,2.8600000000000003,2020-07-01
2020,7,CONSTANTINE WINES INC,47163,AVALEDA VINHO VERDE BRANCO - 750ML,WINE,25.46,26.0,17.0,42.46,0.6123410268487989,68.46000000000001,2020-07-01
2020,7,JIM BEAM BRANDS CO,47169,BOWMORE 15YR - 750ML,LIQUOR,1.19,4.0,0.0,1.19,3.361344537815126,5.1899999999999995,2020-07-01
2020,7,SAZERAC CO,47171,SOUTHERN COMFORT 70P - 1.75L,LIQUOR,15.77,17.0,0.0,15.77,1.077996195307546,32.769999999999996,2020-07-01
2020,7,SAZERAC CO,47180,SOUTHERN COMFORT 70P - 750ML,LIQUOR,14.46,11.0,0.0,14.46,0.7607192254495159,25.46,2020-07-01
2020,7,SAZERAC CO,47185,PORT ROYAL DARK RUM - 750ML,LIQUOR,0.16,0.0,0.0,0.16,0.0,0.16,2020-07-01
2020,7,CONSTELLATION BRANDS,47191,SVEDKA VODKA - 375ML,LIQUOR,25.98,24.0,0.0,25.98,0.9237875288683602,49.980000000000004,2020-07-01
2020,7,PERNOD RICARD USA LLC,47203,H WALKER - AMARETTO-30 P - 1L,LIQUOR,0.16,0.0,0.0,0.16,0.0,0.16,2020-07-01
2020,7,PRESTIGE BEVERAGE GROUP OF MD LLC,47205,ROBERTSON WINERY RED SWEET - 750ML,WINE,0.41,0.0,2.0,2.41,0.0,2.41,2020-07-01
2020,7,PERNOD RICARD USA LLC,47207,H WALKER - PEACH SCHNAPPS - 1L,LIQUOR,1.29,0.0,0.0,1.29,0.0,1.29,2020-07-01
2020,7,INTERBALT PRODUCTS CORP,47224,PUTINKA LIMITED EDITION VODKA - 750ML,LIQUOR,0.17,0.0,0.0,0.17,0.0,0.17,2020-07-01
2020,7,SOUTHERN GLAZERS WINE AND SPIRITS,47228,JUSTIN ISOSCELES 6/CS - 750ML,WINE,0.17,0.0,2.0,2.17,0.0,2.17,2020-07-01
2020,7,"THE COUNTRY VINTNER, LLC DBA WINEBOW",47236,GRAHAMS 40YR TAWNEY - 750ML,WINE,0.17,0.0,0.0,0.17,0.0,0.17,2020-07-01
